id,Gob,Dpa,Rpa,Total,Dpp_allocation,Financial_year
,30000,0,0,30000,1,1
,0,0,0,0,2,1
,1400000,0,0,1400000,3,1
,1800000,0,0,1800000,4,1
,3425000,0,0,3425000,5,1
,25244000,0,0,25244000,6,1
,22000,0,0,22000,7,1
,15000,0,0,15000,8,1
,5000,0,0,5000,9,1
,545000,0,0,545000,10,1
,40000,0,0,40000,11,1
,250000,0,0,250000,12,1
,400000,0,0,400000,13,1
,1800000,0,0,1800000,14,1
,25000,0,0,25000,15,1
,400000,0,0,400000,16,1
,1500000,0,0,1500000,17,1
,5000,0,0,5000,18,1
,0,0,0,0,19,1
,1041000,0,9368000,10409000,20,1
,5938000,0,53447000,59385000,21,1
,2354000,0,21185000,23539000,22,1
,400000,0,0,400000,23,1
,100000,0,0,100000,24,1
,0,50000000,0,50000000,25,1
,500000,0,0,500000,26,1
,100000,0,0,100000,27,1
,100000,0,0,100000,28,1
,3000000,0,0,3000000,29,1
,650000,0,0,650000,30,1
,30000000,0,0,30000000,31,1
,2000000,0,0,2000000,32,1
,100000,0,0,100000,33,1
,200000,0,0,200000,34,1
,50000,0,0,50000,35,1
,500000,0,0,500000,36,1
,500000,0,0,500000,37,1
,50000,0,0,50000,38,1
,136000,0,1000000,1136000,39,1
,75000,0,0,75000,40,1
,300000,0,0,300000,41,1
,9560000,0,0,9560000,42,1
,0,0,0,0,43,1
,0,0,0,0,44,1
,0,0,0,0,45,1
,0,0,0,0,46,1
,0,0,0,0,47,1
,0,0,0,0,48,1
,200000,0,0,200000,49,1
,0,0,0,0,50,1
,0,0,0,0,51,1
,0,0,0,0,52,1
,0,0,0,0,53,1
,1000000,0,0,1000000,54,1
,400000,0,0,400000,55,1
,785240000,0,0,785240000,56,1
,9000000,0,61000000,70000000,57,1
,9000000,0,61000000,70000000,58,1
,60000000,0,400000000,460000000,59,1
,75000000,0,500000000,575000000,60,1
,10000000,0,70000000,80000000,61,1
,9000000,0,61000000,70000000,62,1
,7500000,0,52500000,60000000,63,1
,37000000,0,245500000,282500000,64,1
,1000000,0,6500000,7500000,65,1
,1100000,0,7500000,8600000,66,1
,0,0,0,0,67,1
