id,Ecode,Description,Gob,Dpa,Rpa,Total
,3111302,??????? ????,1000000.00,0.00,0.00,1000000.00
,3111327,?????? ????,1000000.00,0.00,0.00,1000000.00
,3111338,???????? ????,14000000.00,0.00,0.00,14000000.00
,3241101,????? ???? (????? ? ?????? ??????? ???? ???),10000000.00,0.00,0.00,10000000.00
,3211129,"???? ???? ? ????? ??????? (?,??? ?????) ?????? ????",24500000.00,0.00,0.00,24500000.00
,3821103,"???????? ???(??????????? ????, ???????? ?????? ????, ???? ????, ????? ???????-?????, ?????? ???????) ",259627000.00,0.00,0.00,259627000.00
,3211119,??????????,2500000.00,0.00,0.00,2500000.00
,3211120,???????/?????????/?????????????,2500000.00,0.00,0.00,2500000.00
,3211117,???????/???????/?????????,2500000.00,0.00,0.00,2500000.00
,3221104,????? ????? ??,1500000.00,0.00,0.00,1500000.00
,3211115,????,1000000.00,0.00,0.00,1000000.00
,3211113,???????,1500000.00,0.00,0.00,1500000.00
,3243102,????? ??? ????????,20000000.00,0.00,0.00,20000000.00
,3243101,???????? ? ?????????????,15000000.00,0.00,0.00,15000000.00
,3221108,??????????/?????? ????? (???? ??),300000.00,0.00,0.00,300000.00
,3255102,?????? ? ????????,3500000.00,0.00,0.00,3500000.00
,3255104,????????? ??? ? ?????????,15000000.00,0.00,0.00,15000000.00
,3211127,?????? ,200000.00,0.00,0.00,200000.00
,3231201,???? ?????? ????????? ?????(?? ??) ? ???? ?????? ???????? ??? (?? ??),0.00,0.00,23854000.00,23854000.00
,3231201,??????? ?????????? ?) ??????? ?????????(??????? ??????????) ??? ?) ???? ???????????? ?????? (???),4781000.00,0.00,35060000.00,39841000.00
,3231201,"??????????? ????????? ??????? ???-??????? (????) ? ????? ?????????, ?????? ???????? ?????????, ????? ????? ??????????? ?????????, ???? ????????? ? ???????? ??????? ??? ?????????? ??????????? ?????????",30400000.00,0.00,222934000.00,253334000.00
,3231201,"????? ????? ?????? ?????????? ???-??????? (????):  ???????? ??? ????????? ??????? ??????, ?????-????? ????????? ?????????? ??????? ??????, ????? ?????????? ??????? ??????, ????? ??????? ??????? ?????? ??? ?????-????? ???????? ??????? ??????",15860000.00,0.00,116308000.00,132168000.00
,3211109,???????? ?????/?? ?????? ,1500000.00,0.00,0.00,1500000.00
,3256103,????????? ?????,2500000.00,0.00,0.00,2500000.00
,3257101,???????? ????,0.00,790140000.00,0.00,790140000.00
,3111332,"???????/??/??????? ????(????????? ?????, ?????, ??????????? ???????)",2500000.00,0.00,0.00,2500000.00
,3111332,??????? ?????????? ,1000000.00,0.00,0.00,1000000.00
,3111332,???????? ?????????? ,1000000.00,0.00,0.00,1000000.00
,3257104,??????,16200000.00,0.00,0.00,16200000.00
,3255101,????????? ????????? ,5000000.00,0.00,0.00,5000000.00
,3256101,???????? ???? ? ?????????? ?????? ????,170000000.00,0.00,0.00,170000000.00
,3258101,???? ???????  ?????? (????),10000000.00,0.00,0.00,10000000.00
,3258102,????? ???? ?????? ? ???????,1500000.00,0.00,0.00,1500000.00
,3258103,"????????? ? ???? ??????? 
?????? ? ???????",2500000.00,0.00,0.00,2500000.00
,3258105,?????????? ? ???????  ?????? ???????,2500000.00,0.00,0.00,2500000.00
,3258107,???? ???? ?????? ? ???????,2000000.00,0.00,0.00,2000000.00
,3258106,?????? ???? ?????? ? ???????,2000000.00,0.00,0.00,2000000.00
,3258105,??????? ???????????,2500000.00,0.00,0.00,2500000.00
,3258114,???????? ?? ??? ?????? ? ???????? (????),4350000.00,0.00,31900000.00,36250000.00
,3258128,????? ? ???????? ??????,1000000.00,0.00,0.00,1000000.00
,3258107,???????? ? ?????? ? ???????,2500000.00,0.00,0.00,2500000.00
,4112101,"??? ???? (??????? ???? ???? ????? ???? ????) -? ?? ??????? ????????? ????????? ????, ??????? (??????? ???? ???? ???? ??? ???? ???? ???????) (?-??)-? ?? (???-???, ??-???, ?????????-???, ?????????-???, ?????????-???, ???????-??? ? ??????????????-???) ??? ????? ?????????? ????-???-??? ???? ",70250000.00,0.00,0.00,70250000.00
,4112101,"?????????? ???? (???-???, ?????????-????, ?????????-???, ?????????-???, ???????-??? ? ??????????????-???)",6825000.00,0.00,0.00,6825000.00
,4112102,?????? ? ????????? ??????????? ???????? (?? ?????????? ???),10000000.00,0.00,0.00,10000000.00
,4112316,"????????? ??? (???-???, ?????????-???, ?????????-???, ?????????-???, ???????-??? ? ??????????????-???)",897000.00,0.00,0.00,897000.00
,4112316,"??????? ??? (???-???, ?????????-???, ?????????-???, ?????????-???, ???????-??? ? ??????????????-???)",500000.00,0.00,0.00,500000.00
,4112304,"?????? ??????????? (??????? ??????? ?????????????? ???, ????? ?????? ??? ? ??????? ????? ?????? ????)",2050000.00,0.00,0.00,2050000.00
,4112304,"??????????? ??????????? ??? (???-???, ?????????-???, ?????????-???, ?????????-???, ???????-??? ? ??????????????-???)",600000.00,0.00,0.00,600000.00
,4112304,???????????? ?????????? ?????????? (????????? ??.?. ????? ?? ????),5000000.00,0.00,0.00,5000000.00
,4112202,"??????? ????????? - ???? (??????? ?????????? ??????-???, ?????? ????????? ????? - ???, ?????? ???????? ???? - ???, ????? ?????? ????????? - ???, ????? ????? ???????? - ???, ?????????-???, ?????????-???, ?????????-???, ???????-??? ? ??????????????-???)",1950000.00,0.00,0.00,1950000.00
,4112202,"??????? ????????? - ???? (??????? ?????????? ??????-???, ?????????-???, ?????????-???, ?????????-???, ???????-??? ? ??????????????-???)",1375000.00,0.00,0.00,1375000.00
,4112202,(?? ????? ????????? - ??? (??????? ?????????? ??????),150000.00,0.00,0.00,150000.00
,4112202,"????? ????????? - ???? (???-???, ?????????-???, ?????????-???, ?????????-???, ???????-??? ? ??????????????-???)",525000.00,0.00,0.00,525000.00
,4112314,?????????,5000000.00,0.00,0.00,5000000.00
,4112303,????????? (????),1500000.00,0.00,0.00,1500000.00
,4141101,??? ???????? (??? ??????),2400000000.00,0.00,0.00,2400000000.00
,4111306,??????? ????? ??????? (?????) (???? ????),15132000.00,0.00,110968000.00,126100000.00
,4111307,????????/ ????? ??????????/??????? (????????? ??-???????)(???),18180000.00,0.00,133320000.00,151500000.00
,4111307,???? ????????/?????/?????/(???? ??????? ?????? ??????/???????)  (???? ????) (?????),243732000.00,0.00,1787368000.00,2031100000.00
,4111307,???/??? ??????? (???? ????) ???.?? ????,116748000.00,0.00,856152000.00,972900000.00
,4111201,???/??? ??????? (????????? ??-???????) ???.?? ????,30180000.00,0.00,221320000.00,251500000.00
,4111201,???? ????????? (?????)  (????????? ??-???????) ??.?? ????,30600000.00,0.00,224400000.00,255000000.00
,4111201,???? ????????? (??????)  (????????? ??-???????) ??.?? ????,21420000.00,0.00,157080000.00,178500000.00
,4111201,???? ??????? (??????) (???? ????) ???.?? ????,143430000.00,0.00,1051820000.00,1195250000.00
,4111201,???????? ????????? (???? ????) (???),1992000.00,0.00,14608000.00,16600000.00
,4111201,??? ???? ??????? (????),16560000.00,0.00,121440000.00,138000000.00
,4111201,???????????? ??????? ????,20000000.00,0.00,0.00,20000000.00
