id,Ecode,Description,Gob,Dpa,Rpa,Total,,,
,3211130,hvZvqvZ e¨q,300000,0,0,300000,,,
,3111326,ågb fvZv,6000000,0,0,6000000,,,
,3111332,m¤§vbx (wcGmwm/wcAvBwm/‡UK/ ga¨‡gqv`x g~j¨vqb BZ¨vw`i Rb¨),3000000,0,0,3000000,,,
,3211106,Avc¨vqb e¨q (wewfbœ KwgwUi Rb¨),1000000,0,0,1000000,,,
,3211111,‡mwgbvi I Kbdv‡iÝ e¨q,6000000,0,0,6000000,,,
,3211116,Kzwiqvi,300000,0,0,300000,,,
,3211117,B›Uvi‡bU/d¨v¯‹/‡U‡j·,100000,0,0,100000,,,
,3211120,‡Uwj‡dvb,300000,0,0,300000,,,
,3211119,WvK,100000,0,0,100000,,,
,3211108,e¨vsK PvR© (hvbevnb exgvmn),300000,0,0,300000,,,
,3211119,‡gvUihvb Ki,1500000,0,0,1500000,,,
,3211125,weÁvcb I cÖPvi (mvBb‡evW©mn),10000000,0,0,10000000,,,
,3211131,AvDU ‡mvwm©s,11455037.5,0,0,11455037.5,,,
,3231101,Af¨šÍixb cÖwkÿY,5000000,0,0,5000000,,,
,3231101,‰e‡`wkK cÖwkÿY,10000000,0,0,10000000,,,
,3243201,‡c‡Uªvj I jyweª‡K›U (wcGgI Awdm),7500000,0,0,7500000,,,
,3243102,M¨vm I R¡vjvbx (wcGgI Awdm),2000000,0,0,2000000,,,
,3255101,Kw¤úDUvi mvgMÖx,1000000,0,0,1000000,,,
,3255102,gy`ªb I euvavB,1000000,0,0,1000000,,,
,3255104,wmj I ÷¨v¤úm,200000,0,0,200000,,,
,3255105,Ab¨vb¨ gwbnvwi,600000,0,0,600000,,,
,3255106,g¨vc,1000000,0,0,1000000,,,
,3256101,mvavib mieivn,500000,0,0,500000,,,
,3258101,‡gvUi (we`¨gvb hvbevnb †givgZ),1500000,0,0,1500000,,,
,3258102,AvmevecÎ (we`¨gvb AvmevecÎ †givgZ),500000,0,0,500000,,,
,3258103,Kw¤úDUvi (we`¨gvb Kw¤úDUvi †givgZ),500000,0,0,500000,,,
,3258104,Awdm miÄvg (we`¨gvb Awdm miÄvg †givgZ),300000,0,0,300000,,,
,3258107,Awdm feb (we`¨gvb Awdm feb †givgZ),1000000,0,0,1000000,,,
,4113102,"e„ÿ Pviv mieivn, †ivcb  I iÿYv‡eÿY (we¯ÍvwiZ cwiwkó-14)",2026848505,0,0,2026848505,,,
,4112101,"‡gvUihvb (cÖMwZi ˆZix 5 `iRv wewkó m‡ev©”P 2700 wmwm cv‡R‡iv †¯úvU©m Rxc, cÖKí e¨e¯’vcbv `ß‡ii Rb¨)",10000000,0,0,10000000,,,
,4112101,"‡gvUihvb (cÖMwZi ˆZix Wvej †Kweb wcK Avc, cÖKí e¨e¯’vcbv `ß‡ii Rb¨)",15000000,0,0,15000000,,,
,4112202,Kw¤úDUvi I Avbylvw½K (‡jRvi wcÖ›Uvimn),500000,0,0,500000,,,
,4112202,j¨vcUc ,500000,0,0,500000,,,
,4112202,Awdm miÄvg (A3 Laser Color Printer),200000,0,0,200000,,,
,4112302,K¨v‡giv (wfwWI K¨v‡giv),100000,0,0,100000,,,
,4112310,Awdm miÄvg (d‡UvKwcqvi †gwkb),500000,0,0,500000,,,
,4112310,Awdm miÄvg (gvwë wgwWqv cÖ‡R±i Avbymvw½Kmn),150000,0,0,150000,,,
,4112310,Awdm miÄvg (A3 mvBR ¯‹¨vbvi),50000,0,0,50000,,,
,4112314,AvmevecÎ,1000000,0,0,1000000,,,
